Title	URL	Assignees	Status	Labels	Effort Estimation	Effort Actual	Linked pull requests	Milestone
Migration of the YouTube data extraction pipeline to the HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/27	preetvadaliya	In Progress	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-03	8			
Extract data from website Nutritionfacts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/24	manikg08	Sprint Backlog	domain: data pipeline, domain: storage, feature request, sprint-03	8			
Migration of the podcast transcription and data storage pipeline in the HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/28	lukas-varga	Sprint Backlog	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-03	8			
Familiarise with the RAG technique and the LangChain framework	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/25	potthoffjan	Sprint Backlog	research (scrum spike), sprint-03	5			
Extend the config functionality to other scraping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/35		Product Backlog	domain: data pipeline, enhancement, feature request, sprint-04				
Extend the orchestrator functionality to other scraping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/36		Product Backlog	domain: data pipeline, enhancement, feature request, sprint-04				
Generate Embeddings and store them in a vector store	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/41		Product Backlog	domain: storage, feature request, sprint-04				
Extract text content from academic repository: Arxiv	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/7		Product Backlog	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature request, sprint-04				
Scrape Website	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/37		Product Backlog					
Create a DB for personal context of a user	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/38		Product Backlog	domain: storage, feature request, sprint-04				
Setup LangChain pipeline (RAG generator, Embeddings saving in DB, feed the promt to the LLM, Generate response)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/39		Product Backlog	domain: 3rd-party APIs, domain: storage, feature request, sprint-04				
Create RAG Bot	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/40		Product Backlog	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature request, sprint-04				
Extend config functionality to read sources from a file	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/14	eloinoel, EnescuDavid	Product Backlog	feature request	5			
Project Setup	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	preetvadaliya	Feature Archive	domain: env-and-tooling, sprint-02				
Create architecture diagram and text description of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/15	EnescuDavid, preetvadaliya	Feature Archive	documentation, domain: amos formal requirements, sprint-02	3	3		
Create runtime components diagram and text descripton of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/16	eloinoel, manikg08	Feature Archive	documentation, domain: amos formal requirements, sprint-02	3	3		
Create text description for the tech stack	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/17	preetvadaliya	Feature Archive	documentation, domain: amos formal requirements, sprint-02	3	3		
Review and edit runtime components diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/19	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Feature Archive	documentation, domain: amos formal requirements, sprint-02	3	3		
Review and edit architecture diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/18	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Feature Archive	documentation, domain: amos formal requirements, sprint-02	3	3		
Review and edit tech stack description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/20	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Feature Archive	documentation, domain: amos formal requirements, sprint-02	3	3		
