Title	URL	Assignees	Status	Labels	Linked pull requests	Sprint	Reviewers	Timing	Estimation	Milestone
(data acquisition) Extend the "save" functionality of the base-scraper	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/91		Product Backlog	domain: data pipeline, enhancement		Sprint 05		1-start		Part A: Data Acquisition 
(data acquisition) Create multi-platform podcast availability checker	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/99		Product Backlog	domain: data pipeline, feature		Sprint 05			0	Part A: Data Acquisition 
(data acquisition) Error handling in the orchestrator	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/87		Product Backlog	domain: data pipeline		Sprint 05				Part A: Data Acquisition 
Integrate the NIH-PubMed scraper into the new orchestrator structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/88		Product Backlog			Sprint 05				Part A: Data Acquisition 
Integrate the nutritionfacts scraper into the new orchestrator structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/89		Product Backlog			Sprint 05				Part A: Data Acquisition 
Integrate the podcast scraper into the new orchestrator scraper	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/90		Product Backlog			Sprint 05				Part A: Data Acquisition 
(Data) LangChain - Basic retrival and generation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/39	manikg08, potthoffjan	Product Backlog	domain: 3rd-party APIs, domain: storage, feature		Sprint 05		3-end	8	Part B: LangChain Basic Pipeline for LLM 1
(Documentation) Create wiki documentation structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/82		Product Backlog	documentation, domain: amos formal requirements		Sprint 05		3-end	0	Part 0: Setup
(App frontend) Create frontend interaction wireframes for the user app	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/93		Product Backlog	domain: app frontend, feature		Sprint 05				Part C: Mobile App for User-Agent Interaction
(App frontend) Setup react-native dev-environment	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/92		Product Backlog			Sprint 05				Part C: Mobile App for User-Agent Interaction
(App frontend) Create components for the basic app functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/94		Product Backlog	domain: app frontend, feature		Sprint 05				Part C: Mobile App for User-Agent Interaction
(App backend) Setup server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/96		Product Backlog	domain: app backend		Sprint 05				Part C: Mobile App for User-Agent Interaction
(app backend) Create API	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/100		Product Backlog			Sprint 05				
(App backend) API: Implement endpoints to query embeddings, fetch LLM results (~13)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/95		Product Backlog			Sprint 05				Part C: Mobile App for User-Agent Interaction
(Storage) Migration of the podcast transcription and data storage pipeline in GC	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/28	lukas-varga	Product Backlog	domain: data pipeline, domain: env-and-tooling, domain: storage, re-evaluate necessity, sprint-05		Sprint 05		1-start	8	Part A: Data Acquisition 
LangChain - Optimise querying	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/54		Product Backlog	domain: data pipeline, enhancement						Part B Extension 1: LangChain Optimised Pipeline for LLM 1
LangChain - Optimise Retrieval	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/55		Product Backlog	domain: data pipeline, enhancement						Part B Extension 1: LangChain Optimised Pipeline for LLM 1
LangChain Optimise Generation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/56		Product Backlog	domain: data pipeline, enhancement						Part B Extension 1: LangChain Optimised Pipeline for LLM 1
Config - Extend functionality for more scraping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/35	EnescuDavid	Product Backlog	domain: data pipeline, enhancement, feature, question, re-evaluate necessity				1-start	5	Part A: Data Acquisition 
Orchestrator - Extend functionality for more scraping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/36	EnescuDavid	Product Backlog	domain: data pipeline, enhancement, feature, question, re-evaluate necessity				1-start	5	Part A: Data Acquisition 
Create RAG Bot	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/40		Product Backlog	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature, re-evaluate necessity						
Data Pipeline: Create a DB for the personal context of a user (prompt engineering step?)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/38		Product Backlog	domain: storage, feature, question						
(Data) Preprocess / Clean scraped data from website allrecipes to facilitate embeddings generation			Product Backlog							
(Data) Connect the chat model of Gemini via the Google API to the langChain Pipeline (~5)			Product Backlog							
(Data) Create Propt Templates for the model (Gemini) in LangChain			Product Backlog							
(Data) Implement error handling for interactions with the LLM API (Gemini)			Product Backlog							
(Data) Develop a standardised LangChain setup that enables different models to be queried			Product Backlog							
(Data) Change the base LangChain Pipeline to use the OpenAI API (LLM, Chat)			Product Backlog							
(Data) Implement error handling for interactions with the LLM API (OpenAI)			Product Backlog							
(Data) (Data) Change the base LangChain Pipeline that uses the LLama 3 API (LLM, Chat)			Product Backlog							
(Data) Implement error handling for interactions with the LLM API (Llama3)			Product Backlog							
(App frontend): Integrate API calls / fetching to the frontend			Product Backlog							
(App) Create functionality for user to select LLM via the user interface			Product Backlog							
(App frontend) Unit testing			Product Backlog							
(App backend) unit testing			Product Backlog							
(App) Integration testing			Product Backlog							
(App) deployment to GC (?)			Product Backlog							
Extend config functionality to read sources from a file	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/14	eloinoel, EnescuDavid	Product Backlog	enhancement, feature, re-evaluate necessity					5	Part A: Data Acquisition 
Formulate product vision	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/71	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 04		2-mid	2	Part X: AMOS Formal Requirements: Mid-project Release
Formulate product mission	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/70	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 04		2-mid	2	Part X: AMOS Formal Requirements: Mid-project Release
Set Sprint Goal	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/74	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 05		1-start	2	Part X: AMOS Formal Requirements: Mid-project Release
Formulate the definition done	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/73	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 05		1-start	3	Part X: AMOS Formal Requirements: Mid-project Release
Create a release plan	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/72	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 05		1-start	3	Part X: AMOS Formal Requirements: Mid-project Release
Preapare the mid-project review presentation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/66	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 06		1-start	3	Part X: AMOS Formal Requirements: Mid-project Release
Preapare final project presentation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/67	tubamos	AMOS Backlog	domain: amos formal requirements, domain: po		Sprint 12		1-start	5	Part X: AMOS Formal Requirements: Final Project Release
Project Setup	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	preetvadaliya	Item Archive	domain: env-and-tooling, sprint-02		Sprint 02	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan	1-start	3	Part 0: Setup
Create architecture diagram and text description of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/15	EnescuDavid, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		0-independent	3	Part X: AMOS formal requirements: Architecture Diagrams
Create runtime components diagram and text descripton of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/16	eloinoel, manikg08	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		0-independent	3	Part X: AMOS formal requirements: Architecture Diagrams
Create text description for the tech stack	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/17	preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		2-mid	3	Part X: AMOS formal requirements: Architecture Diagrams
Review and edit runtime components diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/19	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 02		3-end	3	Part X: AMOS formal requirements: Architecture Diagrams
Review and edit architecture diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/18	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 02		3-end	3	Part X: AMOS formal requirements: Architecture Diagrams
Review and edit tech stack description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/20	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		3-end	3	Part X: AMOS formal requirements: Architecture Diagrams
